code;name;unit;location;reference product;database;production amount;material_group;ISIC;CPC
7dfd68419d99fed9b8695d1fe0d46f07;market for electricity, medium voltage;kilowatt hour;TN;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e2f0b00fe6167c4c3a54b3a437ed912a;market for electricity, medium voltage;kilowatt hour;SV;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
09f8de055f5a6c5b9a467e891f4d8ac9;market for electricity, low voltage;kilowatt hour;NO;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
913a87b109667d83e932f082174efe62;market for electricity, low voltage;kilowatt hour;US-SERC;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d875e3f278a197bf9818418d8e3f166d;market for electricity, low voltage;kilowatt hour;PT;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1e5c206bcf8bc1795e97f5aa2a4e038c;market for electricity, medium voltage;kilowatt hour;CG;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
3a934ecc071e2eedc79046e3f3fa21ea;market for electricity, medium voltage;kilowatt hour;UY;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
81ccc76cb0e2da4ed46ead26b919369a;market for electricity, high voltage;kilowatt hour;GT;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e52d575fead7de57834b0b2dfc9b4d5e;market for electricity, high voltage;kilowatt hour;US-NPCC;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
29d1c4a73720a7cdb66cb4d65900e445;market for natural gas, high pressure;cubic meter;RO;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
7d76813f959a0937465cc7fa54755305;market for electricity, high voltage;kilowatt hour;CL;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
0cd20fe6061c81eb5529d215fda879cb;market for electricity, high voltage;kilowatt hour;CN-ECGC;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e0fce0c3aa69780db4c9497f15289d31;market for electricity, medium voltage;kilowatt hour;NP;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1fe808d36f906e9e211ede6e32d084ac;market for electricity, low voltage;kilowatt hour;IN-Eastern grid;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d7f38b9bb9a0510163032bbd786a227f;market for water, decarbonised;kilogram;RU;water, decarbonised;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;water;3600:Water collection, treatment and supply;18000: Natural water
eb7379c7154fb29dcbeb6e98cfb6b6cd;market for electricity, medium voltage;kilowatt hour;HR;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
74e492a19b1b1986a717613af223ba8b;market for electricity, low voltage;kilowatt hour;TH;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
